date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:05:34	300/300	---MCZ	200	added ('OK')	text/plain	etag:W/%221f1-9NA0Kf4m25vHEVHx3xN1eaHZmVQ%22	https://www.kirpaproperties.com/robots.txt		(from )
14:05:35	2063500/2063500	---MCZ	200	added ('OK')	text/html	etag:W/%22c74f0a5f71f2490cb0d51e4eb8f6c4a7%22	https://www.kirpaproperties.com/	C:/Users/mians/Downloads/Final%20Mysha/final%20mysha/www.kirpaproperties.com/index.html	(from )
14:05:37	26057/26057	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Dec%202025%2009:05:35%20GMT	https://static.wixstatic.com/media/e27d97_50e594fd9fda4838865631c00b5751b5~mv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/e27d97_50e594fd9fda4838865631c00b5751b5~mv2.png	C:/Users/mians/Downloads/Final%20Mysha/final%20mysha/static.wixstatic.com/media/e27d97_50e594fd9fda4838865631c00b5751b5_mv2.png/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/e27d97_50e594fd9fda4838865631c00b5751b5_mv2.png	(from https://www.kirpaproperties.com/)
14:05:38	2193/2193	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Dec%202025%2009:05:36%20GMT	https://static.wixstatic.com/media/e27d97_50e594fd9fda4838865631c00b5751b5~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/e27d97_50e594fd9fda4838865631c00b5751b5~mv2.png	C:/Users/mians/Downloads/Final%20Mysha/final%20mysha/static.wixstatic.com/media/e27d97_50e594fd9fda4838865631c00b5751b5_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/e27d97_50e594fd9fda4838865631c00b5751b5_mv2.png	(from https://www.kirpaproperties.com/)
14:05:39	23537/23537	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Dec%202025%2009:05:37%20GMT	https://static.wixstatic.com/media/e27d97_50e594fd9fda4838865631c00b5751b5~mv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/e27d97_50e594fd9fda4838865631c00b5751b5~mv2.png	C:/Users/mians/Downloads/Final%20Mysha/final%20mysha/static.wixstatic.com/media/e27d97_50e594fd9fda4838865631c00b5751b5_mv2.png/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/e27d97_50e594fd9fda4838865631c00b5751b5_mv2.png	(from https://www.kirpaproperties.com/)
14:05:39	432253/432253	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ad8d4abe1af9f974a1468f1782295b0c%22	https://static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	C:/Users/mians/Downloads/Final%20Mysha/final%20mysha/static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	(from https://www.kirpaproperties.com/)
14:05:40	137771/137771	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/mians/Downloads/Final%20Mysha/final%20mysha/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.kirpaproperties.com/)
14:05:40	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/mians/Downloads/Final%20Mysha/final%20mysha/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.kirpaproperties.com/)
14:05:42	2211/2211	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Dec%202025%2009:05:40%20GMT	https://www.kirpaproperties.com/t	C:/Users/mians/Downloads/Final%20Mysha/final%20mysha/www.kirpaproperties.com/t.6.delayed	(from https://www.kirpaproperties.com/)
14:05:43	2211/2211	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Dec%202025%2009:05:41%20GMT	https://www.kirpaproperties.com/e	C:/Users/mians/Downloads/Final%20Mysha/final%20mysha/www.kirpaproperties.com/e.7.delayed	(from https://www.kirpaproperties.com/)
